,,,,,,,Total,Total,Annual loss,,,,,,,,,,,,,,forest cover by strata,,,,,,,,loss within S1,,,,,,,,,,,,,,loss within S2,,,,,,,,,,,,,,loss within S3,,,,,,,,,,,,,,loss within S4,,,,,,,,,,,,,,loss within S5,,,,,,,,,,,,,,loss within S6,,,,,,,,,,,,,,loss within S7,,,,,,,,,,,,,,loss within S8,,,,,,,,,,,,,
Ecozone,Realm,Code,total area,no data,land,water,Loss 00-14,Gain 00-12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,S1,S2,S3,S4,S5,S6,S7,S8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Tropical mountain system,AFR,9,146778512,0,146244887,533626,1704047,481290,85852,94777,78218,87226,101844,78883,155386,110097,114653,112422,129353,138804,211499,205033,81420938,10545274,16110207,1758451,5659850,11959486,8055392,10735288,125.0434294,272.5661897,241.1192959,259.8785048,367.9353767,294.036179,476.3304999,432.8667121,355.1297788,368.460202,653.5042168,2225.932469,8454.732971,9590.116445,597.9010863,1377.877492,1398.939784,1534.466158,2311.65245,1565.965975,3203.363056,2467.495048,2699.588693,2569.261108,1985.776148,2695.601209,7290.480272,7102.851073,2144.708849,4452.773656,4445.315872,4308.41834,6519.745997,4406.302195,8994.68958,7303.699404,6741.414164,6430.479577,6307.830006,8910.408212,21869.47617,20215.16361,482.1119505,755.150097,828.5130819,749.9208253,1110.64411,791.2834995,1471.918706,1378.641418,1104.44658,1117.036338,1216.946157,1512.928024,3210.301485,2859.414499,1976.739478,3037.499393,2961.805602,2879.154137,4020.960441,2955.079636,5312.854021,4675.405999,3755.794514,3844.288155,4314.707594,5577.20778,12028.73999,10944.84362,9685.742412,12273.0055,10883.27618,12079.2226,14801.6524,10752.12189,20171.01272,17712.37284,17329.64304,15562.03991,17456.40867,24860.03066,39847.83745,35659.79564,25981.45206,26216.37123,24303.21553,26040.94271,28309.47385,21108.37693,41487.25159,28910.91665,30911.3799,27943.90054,34343.61134,39523.40746,51810.90452,50170.74454,44858.51236,46391.38743,33155.89128,39374.48116,44401.82658,37009.5064,74268.18992,47215.79396,51755.34462,54586.44784,63074.10665,53498.81235,66986.74957,68490.41235
Tropical rainforest,AFR,10,400028085,1808,394744818,5281459,14616738,2457170,874149,954685,505317,587440,721225,771235,883577,784470,1041925,1148636,884701,1057036,2090184,2312158,4082174,9190160,32076976,5803410,21038364,54187836,74239151,194126748,101.4615534,146.8323161,117.9353166,142.2823076,164.21222,158.5765257,253.3916624,180.3571875,249.5779507,259.0676552,268.5187044,729.6097027,3060.84448,2759.393527,1379.242752,1697.036016,1509.360744,1347.321057,1886.89039,1940.584313,2729.290732,2064.266603,3341.627218,3577.968239,2228.061122,3979.128847,10423.8761,9129.378702,10663.42756,11386.04728,9885.739141,7415.849859,11880.26922,11226.74193,16164.04642,13571.45135,17444.07802,22393.21277,13415.44618,22262.89285,61240.91871,62819.30615,3173.654799,3134.35475,2521.276516,1977.294209,3054.403345,2951.153122,3940.687967,3573.443752,4303.848991,5634.415766,3523.033132,5371.917162,14727.38492,15251.86724,14814.21619,13249.03758,10357.57646,8261.960986,12340.24093,12021.6876,15361.02961,14966.66474,15890.30489,21943.83632,14885.82904,20574.19983,66781.61545,70436.57954,86544.81801,90929.13774,55236.40349,50245.20655,65897.79768,69579.4886,79030.17819,88658.20604,85107.53234,93264.06262,85020.61186,96779.16667,284937.1044,318663.4602,261033.246,329271.1806,169429.2287,162536.9671,191539.0752,232315.2649,269891.0012,258822.2268,293653.7857,290945.3632,296817.4792,332400.9722,744461.1206,809566.7692,496439.3551,504871.2255,256259.7785,355513.5972,434462.48,441041.8069,496207.1056,402633.3381,621933.9199,710618.1141,468541.6779,574938.1158,904550.7331,1023531.244
Tropical shrubland,AFR,11,595671580,0,594433066,1238514,935545,34592,40900,37193,77197,26683,60653,95407,67849,68794,113096,74703,48852,60535,72067,91615,568756304,12394911,8359660,563170,1185609,2287283,723179,162950,1516.267487,1926.769993,2979.148702,1587.781457,5059.057758,5720.129465,2078.911433,2568.99102,5622.073957,1869.029345,1518.480673,4349.105007,9066.804374,10033.81452,4212.639473,5699.788511,9528.966856,4062.781614,10189.43504,15730.44954,6782.198559,8420.308945,15911.69435,9061.732197,4113.562525,6625.672554,6381.567614,5413.952996,9321.292775,11733.96653,25443.4814,8163.106034,19151.38186,31050.36634,17388.24619,20196.90011,34046.16137,19854.44178,10126.22094,14395.78069,16757.3063,12649.95477,1435.543233,1753.760544,4084.196114,1225.980563,2524.036687,4149.351,2558.423628,2767.550674,4209.123364,2954.947553,1499.9356,1526.898878,2227.991229,2116.129902,4828.383858,4721.388256,12680.68107,3831.794104,7685.710272,12158.07322,8205.453303,8699.169126,13201.01008,7890.603441,4194.936566,4570.70625,6474.928363,5146.078386,12082.51239,7919.236643,18119.00467,6157.140635,12658.77776,20771.76641,20918.57659,17500.32759,25396.10533,15390.98053,12142.91419,12740.0629,20982.76579,41897.24057,4959.56653,2979.716168,4033.068127,1482.229437,3128.504776,5657.760731,9194.990924,8324.421615,14403.13655,17169.34884,14445.43737,15959.01966,10009.67118,14200.09861,2543.376255,458.4434678,328.5672067,172.3273372,256.3087434,169.4116802,722.6676277,316.4136472,306.8018164,512.3030276,810.2516166,367.4237202,166.1070537,157.9484619
Water,AFR,12,15746448,0,4219457,11526991,78179,10704,6533,2519,3098,3108,7304,5177,6955,6895,4429,6359,9027,4948,5456,6370,1542705,549584,626330,67923,226441,675969,427486,103019,5.626936922,8.081128541,10.65443903,17.39573497,22.44491795,9.532339328,18.54754237,10.40984337,14.96375124,15.59209559,17.2054391,271.1677151,323.7130078,669.9670186,81.50599993,136.9134171,118.4147332,173.9249057,180.8729735,108.9058585,138.0374233,92.04441679,137.1688465,87.26131734,109.3978645,156.3962911,315.2989214,398.0250774,188.4945112,208.7032722,228.1442795,294.2104784,449.5834167,316.1633828,482.4080449,412.2433695,318.0371196,384.3372425,513.1908807,347.4585755,522.3976614,719.2208081,25.798739,30.25968463,41.64921236,47.05620387,84.51347921,64.44053549,101.9581489,86.63677148,58.01967793,95.97894157,121.0532184,71.25198287,72.70564667,104.1451689,141.6915538,123.7471248,213.9930625,222.5697549,434.6799207,279.8427254,453.7206464,482.154968,245.6471381,347.3800165,468.1212431,278.5842556,286.6898612,449.9550262,778.9246375,528.2864873,1053.971933,1010.882568,2225.269197,1310.290135,2276.278147,2185.434105,1212.897259,1942.542506,2920.236608,1453.219106,1443.739593,1929.794111,2547.122069,900.9269575,918.5199926,816.9783355,1721.38684,1050.784929,2087.181973,1956.421445,1341.128602,1679.9904,2556.816176,1397.45462,1547.072013,1415.608751,2764.16217,582.5530712,512.2915558,524.7502353,2185.450364,2037.133069,1397.161275,1669.692593,1100.992746,1805.634989,2321.186285,972.7937016,944.3433411,683.4294993
No data,ANT,13,33053,33053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar,ANT,14,752833,752833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No data,AUS,15,194457,194457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subtropical desert,AUS,16,413100722,0,412844086,256636,1522512,2711,514504,77019,155369,42828,377236,65000,79928,68984,22773,87840,6009,7371,4865,12786,411615681,73714,386430,101612,419956,246224,410,59,462716.5663,66259.17385,118159.3275,36139.64236,339805.9145,58668.4669,71712.2276,58254.70854,18037.01966,43154.02606,5235.855223,6413.496108,4722.489993,12615.36372,1948.738195,140.2137673,2130.917026,1289.825428,6083.134049,732.278565,1528.800079,1069.668464,343.2383663,1395.09034,91.23647263,115.310364,10.99981763,8.414775276,22435.20597,5077.609039,13754.63741,2474.259393,13915.80041,1602.33222,2726.961494,3668.976225,1123.723648,4641.738042,206.9642386,276.0318756,60.06530844,116.8032741,5274.513235,48.1891725,221.6343011,1502.435877,5212.684969,1206.690692,1623.853684,2992.504945,677.6278571,2418.607394,150.2135523,105.4324544,8.209238403,3.936915295,14611.10155,2217.805203,6470.934672,1091.105176,7662.628174,2048.735575,1782.424178,2238.586753,1762.583476,21112.78934,244.7246226,292.4042702,34.02868842,20.86911705,7515.200037,3274.295798,14626.62389,327.4986683,4551.026785,737.1090992,551.8411576,752.4663355,824.2128423,15105.56153,74.36980425,160.2579554,29.54573158,20.72004318,2.584576284,1.092109173,3.441077252,1.845984763,3.314566752,3.142388283,1.77357313,4.558208488,3.198352028,11.55928622,5.348993142,7.97893952,0,0,0.1295779062,0.2026155286,1.868851413,1.084663705,1.383358858,1.00946244,0.2186088721,2.107122498,1.117704205,0.987919878,0.643846495,0.3521350624,0,0
Subtropical dry forest,AUS,17,12331358,0,12126807,204552,563864,390213,24781,25376,39382,28730,45122,37713,72369,54330,28508,26692,41530,35677,49704,53950,7939657,32671,160018,43367,185246,1552388,1002247,1211212,1626.870473,833.2091181,2328.245058,1682.766566,3674.197945,1099.2017,6123.773934,619.6509462,449.7467392,1537.980799,4942.417565,5690.959682,21357.86625,24769.05701,330.366488,126.9019824,475.9394158,289.4538907,735.8979726,195.7462849,712.1887197,128.3880363,97.13008949,222.2194667,182.3655671,117.3188116,298.4264896,237.3847683,1362.417384,418.8499099,1963.311616,1247.043481,2162.134827,586.4926281,2880.799243,312.5702835,235.1684613,960.6655024,1277.214177,562.0776124,1040.637883,864.1042672,369.2046198,115.0086189,621.5264023,437.2854212,793.9788407,214.759575,930.7045112,121.6633184,97.00326757,499.846773,643.9193506,366.9238058,293.8623688,251.6678842,852.6470003,617.0285391,1078.337829,817.5711047,2359.874649,672.5868484,2367.645928,625.7120962,374.4200868,1282.111383,1264.316072,702.2962578,945.6784942,783.7092919,7340.197979,5634.737732,11098.07688,6299.288063,14214.95077,6927.856665,17749.78521,7143.562767,3881.568599,6725.0532,10875.20864,9237.987749,7702.105919,5987.702048,2856.364696,4280.653943,5242.125669,4574.574603,5629.696535,8141.436887,15450.75152,22101.08484,7354.680415,5539.74975,7063.586295,7054.710427,6477.604426,6786.384869,10043.00208,13349.20716,16573.99107,13382.41209,15551.19786,19875.34716,26153.18613,23277.2493,16017.79419,9924.609466,15281.121,11945.19898,11588.1429,14269.81255
Subtropical humid forest,AUS,18,28118655,13359,27414733,690563,892116,598365,46184,60175,45800,56747,51495,56337,54687,59640,56273,50005,53707,75488,138524,87053,12731649,48949,194344,93339,242245,2015457,3026365,9062385,382.8728875,318.5211722,480.1735998,561.7161869,420.5766179,398.654185,359.4913276,365.2859036,277.3934978,329.7993528,652.6307104,2354.866383,12057.43238,9290.629623,34.42213235,32.35055362,52.98049044,60.09232178,53.27911236,44.69611096,34.7272967,36.64862369,27.21297876,20.28825321,20.19035799,33.93564454,120.6214395,102.6884539,252.1239141,219.3438972,360.4448472,421.5300529,333.8620519,287.4491638,235.5248554,219.6921852,128.9617706,116.0199055,113.5550967,155.9699526,580.6662422,511.1607213,72.8235691,58.21664895,87.8039171,87.16636364,69.12489251,66.22667447,48.27926344,52.15788464,39.83685868,33.865815,40.60618118,71.13204016,286.2107261,229.5132002,233.1986187,199.2042389,335.4897682,371.2447134,291.6906454,273.3391352,235.9704729,204.589535,131.6622478,129.7122863,113.0695183,158.4293415,637.5750095,569.6755249,1574.781039,1577.242469,2193.036523,2035.737477,1938.60642,1970.042633,1766.499704,1449.779123,1123.744252,906.7397915,893.3765036,1448.66518,6801.319662,5609.018173,3326.103739,3780.845855,4093.893037,3464.174745,3700.214303,3553.52398,3425.643014,3102.622042,2680.839658,1826.351268,2185.286211,6160.079446,26144.82544,12441.30092,40307.77937,53989.69467,38196.22994,49744.99069,44687.71298,49743.19403,48581.18912,54209.38606,51863.82837,46642.30977,49687.86351,65105.10171,91894.96311,58299.0265
Subtropical steppe,AUS,19,145969595,0,145600950,368645,3246280,268651,367029,390914,667455,98564,234672,207679,298864,146021,92082,291264,52882,69460,94438,234954,131701949,337370,1800837,346433,2148434,8200100,633868,431959,133231.3633,100816.2526,313558.4318,60179.01509,102338.5498,88201.43701,82929.53151,30739.98637,30265.9877,43944.20512,20380.78651,18062.53432,22711.79631,127763.7525,4588.789158,3391.056229,8568.566121,1610.735816,5783.787942,2950.105971,3560.001918,2494.838292,716.3774437,1967.215517,494.3979495,519.5205965,412.9349065,2244.158574,44143.45208,31582.50532,80092.60615,6251.318354,24070.76283,9725.482283,10857.84279,7177.699824,4933.74243,9030.080375,2013.79593,2808.585444,2886.038916,16750.55664,1615.295246,1910.388349,5410.137196,1284.800113,9010.218856,5961.362196,5187.561595,6118.148432,2931.988136,5422.472592,1101.447788,1661.722758,772.9373727,2077.726306,43401.05059,26795.7527,62950.58889,6296.273247,27703.57111,26807.87757,19029.00632,25713.65107,18771.62045,46843.57149,4188.450317,5368.616521,6051.387111,19779.05932,133698.1078,214034.9509,190229.5252,18672.4438,57288.56934,57365.69142,166531.9069,65522.26115,26514.90089,177488.2104,20199.73461,34652.70639,53974.24732,50333.92278,3378.487149,9939.87859,3310.214543,1947.231777,4583.840285,8426.49097,6438.889062,4464.653754,3188.161073,2646.533731,2273.185406,2855.305137,4465.395191,7965.030594,2972.897943,2442.835884,3335.266624,2322.645456,3892.437707,8241.019982,4329.52643,3789.896918,4759.266909,3921.586935,2230.144138,3530.887737,3163.629595,8039.936863
Temperate mountain system,AUS,20,19374548,0,19066421,308127,503972,226985,13478,17109,78495,24314,25059,22204,67028,24604,86158,29159,17058,23017,50352,25937,9221426,63856,114801,60697,190705,1230440,2128589,6055908,245.2415537,222.7772054,507.7259011,256.6615414,154.4983863,264.4569013,242.46567,135.7823917,180.4170646,143.3511363,232.4113441,755.1849427,3286.311929,2644.338952,7.309654815,10.11870582,40.83977516,10.68654488,4.748489474,8.931867278,12.47142694,3.838776432,7.956069805,3.55252002,3.875962087,8.079232362,56.86958522,41.85887014,37.90085658,46.48373081,240.4040428,62.10474695,37.35363294,54.29098748,57.01597169,26.51353978,29.78157153,25.96409139,16.68620117,31.09701034,176.3478342,151.8557046,8.82102035,9.261669854,56.22681928,19.94376569,14.03951753,14.79475541,16.93344848,9.696588655,11.65322122,9.064838891,9.168525064,15.50291556,75.48169336,56.70364053,47.02883804,59.9753234,296.3113127,81.83431618,57.71592541,68.26965498,89.07674509,42.52213627,42.64584292,55.47984023,25.71829483,45.84850283,219.4174042,141.4238019,317.1151448,450.2218845,1935.548771,560.6157764,364.5503437,393.0521766,641.3719379,271.9861696,353.3956131,426.8002217,238.7643611,377.061898,2019.832165,1241.903981,966.3581317,1245.114635,7737.473781,1783.892718,1616.604971,1634.86102,4230.993686,1455.835876,2097.944808,1667.253959,599.0107742,1659.939465,10182.4691,2712.232896,11848.55211,15064.88472,67680.02193,21538.74717,22809.19856,19765.48859,61737.59825,22657.33842,83433.8048,26827.98507,15932.03161,20124.12212,34335.57756,18947.06927
Temperate oceanic forest,AUS,21,21884264,0,21159316,724947,732386,578724,40014,40873,47855,52451,42118,51163,67836,50007,52496,41608,33886,41851,80175,90051,10715615,40814,76884,45074,96111,508941,1399548,8276330,157.1783999,93.02720242,233.0931074,153.9924263,166.1175812,176.9660835,179.2660623,141.2490252,110.0052265,121.0028572,599.2418743,3351.135217,12865.10733,13779.52649,8.705907584,5.290766805,25.17558521,10.19675039,10.68702991,8.726306047,10.92647658,8.080303689,5.799101669,5.06483499,7.816697361,31.57912438,110.6644028,111.4970116,28.71911228,28.43237118,85.28180943,46.74389862,44.45881315,43.24629439,46.29943579,25.06654318,22.80094278,20.77029785,80.77922548,202.2091981,353.2963693,398.239246,13.96364108,11.642289,26.00054308,19.07623179,17.39220668,18.8428854,25.13550197,11.43647067,9.613570194,10.69697884,102.4476826,171.5308671,153.6413922,179.6180841,41.61914239,32.26328839,98.01181261,56.54710923,52.80765238,58.21048746,73.45439571,34.12808761,21.77702429,29.28949243,72.66048368,204.7594339,421.978661,472.7521078,411.0967139,383.3210028,520.2262915,457.8196266,529.1496326,612.0890544,470.6492183,273.8084498,272.4856728,206.2456634,735.0424135,3720.693018,2455.077529,2742.860812,1758.162109,1563.924617,2522.451942,2154.086132,2011.052583,2494.411541,2824.50273,1518.475641,1664.997082,1015.784499,1324.746165,3267.786682,10884.1803,10383.48049,37594.82507,38755.14499,44344.74922,49552.30148,39286.69245,47750.45118,64206.25712,47994.29099,50388.75518,40199.4031,30963.44519,30901.74215,52931.08785,61983.42602
Tropical dry forest,AUS,22,46631773,0,46087019,544755,102370,37900,2175,4949,3417,6787,7870,14285,7516,7596,5540,3944,3495,6168,13295,15333,28563369,6422384,5616311,803157,859644,2241520,706532,874101,214.8029368,477.4241629,293.3445061,396.861521,584.558506,859.5962913,955.8828589,394.1732678,383.2306922,369.9777295,353.3375958,750.0505708,1830.335459,1063.642735,57.71985156,94.0555735,93.25531624,382.8652319,482.6491965,591.6821943,234.2364914,204.4079848,80.22900411,114.0889627,112.1348636,243.4481814,824.7657005,502.2102404,574.0190855,698.2874825,830.0937367,1843.230681,3199.711524,5539.605689,1872.563119,2120.799476,744.7504655,823.5371012,734.2565174,1016.194861,2734.82688,1630.888442,60.2265329,103.3534029,235.3480816,588.0816257,578.3295341,1038.782298,299.7753915,420.5786299,110.2670834,93.98759583,95.0952595,201.0133303,592.2351259,397.7074467,112.5773937,240.7954863,408.9574022,704.5588606,519.5971996,1424.768654,675.2083232,644.9202604,340.7416169,262.3322907,237.4172513,394.5574306,1113.479404,812.6570786,426.9595057,1393.398631,918.0376501,1401.690541,897.4540375,2565.476042,1597.474338,2292.407672,2085.816954,1236.288238,927.597827,1795.671432,4962.668521,4951.453102,196.552309,730.8290423,271.7358991,564.3509392,638.8391143,1300.5209,980.3717191,1107.681163,924.084229,474.5788286,426.3378783,889.439817,954.305808,3430.619756,531.975731,1211.01896,365.7791263,905.6326604,968.7769289,965.0102171,900.1640991,410.8858884,870.856339,569.1559256,609.1908976,877.2656804,282.2424173,2543.844542
Tropical moist deciduous forest,AUS,23,5544488,0,5473046,71442,46494,9355,2471,3476,2128,3542,4895,3044,2255,1253,4058,1447,4349,5273,3895,4411,729455,172327,90459,99685,123662,647027,1015333,2595099,16.90383184,35.11607968,19.04040609,21.2480892,38.81362865,24.89403671,7.844984509,18.28162623,32.22098466,22.02307747,77.83630195,152.0085847,774.4157725,354.5908144,3.42577163,5.100292605,4.949491194,5.784730717,5.630898525,3.424544682,1.979628772,3.579540881,8.831067489,1.676045798,8.146175913,11.80107703,90.96148528,21.32830068,1.979778756,3.197781344,2.969808895,5.331914548,2.815107462,3.19682215,1.598475076,2.513216039,4.949290446,0.6089935453,5.786766283,6.014254561,52.51845802,17.82242956,2.817029731,5.635202641,1.904457998,3.198162506,2.96747045,2.587440123,1.294492418,1.294687113,5.250643407,0.07614509103,4.948247023,7.615719657,58.39454946,21.86717274,2.892657099,3.349277262,1.370579353,4.264145533,3.80306992,3.348957588,2.054714309,2.208185927,7.841209268,0.07628385906,5.936531788,7.918990994,63.79314425,24.60648999,49.94148084,69.89362149,56.2807681,66.91442853,60.40492494,57.31557637,28.47387707,43.79381206,102.2294234,7.68796528,91.74850182,99.73708219,356.4918139,271.7927132,391.4065618,472.4061317,381.0400718,495.4420331,590.6866542,437.8486485,196.3082634,191.8931121,617.4455637,44.21235621,397.3309085,500.0034555,667.1329851,946.6863532,2001.489471,2881.182793,1660.195916,2939.475338,4189.611599,2511.534242,2015.20294,989.0043881,3278.751536,1370.350782,3757.266888,4487.556,1831.471955,2752.163597
Tropical mountain system,AUS,24,12094517,0,12073137,21380,95102,31725,3957,6441,3885,7431,4066,7637,6114,6909,9372,9871,3230,7483,7343,11364,639836,78564,23457,35891,80424,317392,762162,10135412,18.55030079,34.31008529,15.25022029,38.15416837,11.11494104,33.4124054,22.30182735,24.4435922,29.59528633,29.96682058,15.48279281,90.93452793,346.673856,362.9474858,5.137425465,8.655404687,4.977951545,9.87561857,2.452684236,7.581230959,5.900937035,4.824081605,7.431710065,7.967263962,2.759844637,11.79680801,30.34126781,38.69169207,3.372276093,4.594688167,2.835632071,7.277178126,1.839147369,3.369616197,3.522763991,3.982354253,4.36844222,4.828135537,1.761164977,10.27190896,27.44664012,35.03676119,2.221075074,4.517508917,1.302849028,5.20873286,2.223221081,3.141734568,2.682912889,3.599906226,4.674032843,3.831984994,0.4592118247,7.050917029,22.06996159,22.14782003,4.747113865,6.352727047,2.75713664,7.963193993,1.6853789,7.200269664,5.282187539,5.74477861,6.436547002,6.66246934,1.914893283,11.94895404,30.26047205,42.44039317,51.72364647,108.5265974,37.99214894,124.4551195,40.23586223,91.38148788,70.10823355,89.13663086,91.57674347,101.9856932,29.87500807,93.45088326,206.4881092,191.4246691,268.2235408,494.1773752,210.1953971,558.7803308,238.9173198,493.7226051,374.7649644,487.2696401,543.8153505,573.922273,147.4817176,388.2168299,681.1946662,958.8995135,3602.94142,5779.643995,3610.050826,6679.237831,3767.747297,6997.046185,5628.938478,6290.202235,8683.735107,9142.075798,3030.623351,6868.936006,5998.72648,9711.976648
Tropical rainforest,AUS,25,82215455,1112508,78737229,2365718,1283766,337188,52325,82512,50561,86802,62257,87357,79182,96689,81891,103384,102814,131833,111841,154318,4051967,264402,365834,179260,270866,1746471,3078098,68780331,366.4224168,337.5679632,186.066153,656.1133242,272.417941,397.3452763,285.4872284,343.5515222,386.2976392,321.5017668,867.3135784,907.9818266,3209.744493,3376.860447,46.25540731,54.94650886,32.35524703,86.75073134,37.07649705,60.48248986,50.42493882,54.77660076,51.00179351,47.30435479,58.28697607,81.68672185,216.9724523,208.6849377,120.5104345,123.6853398,88.32950235,170.197233,97.13890275,106.5288912,125.305941,94.98074052,127.320839,75.26392884,108.4662532,166.3084667,465.1480967,429.3120439,33.03878841,41.21422203,26.6121431,61.85868044,28.00528163,36.67923092,34.45290418,35.16106473,36.48033163,28.37853826,39.5026405,63.00648908,207.1566584,200.0776996,81.4622651,78.20278593,52.62797321,109.9138604,69.94836744,80.62444108,75.01338067,60.57404891,72.81062022,52.2805646,70.63649317,113.6966778,369.9736421,362.1333634,642.3927889,790.0848133,581.2004071,1241.67999,802.4285027,988.8986346,696.6089003,669.3783164,706.859857,594.016319,801.1139942,894.3024614,2817.177928,3277.952875,2161.094336,3690.275359,1896.723451,4083.476314,2375.79224,3293.642565,2647.044282,2810.026605,2736.374692,2997.988986,3815.18864,2970.713908,4897.88817,7461.850387,48874.1189,77395.74798,47696.68162,80392.08429,58574.65914,82392.83959,75267.64382,92620.88609,77773.75042,99266.94256,97053.00694,126635.1389,99657.40705,139001.2042
Tropical shrubland,AUS,26,106008437,0,105852202,156235,35171,2287,1546,1490,1495,2980,1762,2516,3219,2264,1968,3149,1646,2025,5296,3814,102496172,1385024,881057,110411,243132,572396,105555,58456,686.2631699,735.2848517,728.3901299,1270.840372,673.2218857,726.674162,825.7372856,756.3232969,701.5425546,1202.770118,708.6686523,1210.361649,3809.870859,1972.365082,49.55085107,52.86328738,40.48793775,76.91380348,62.14162933,71.04499602,77.89999478,86.7386951,82.77428444,86.74709657,31.34704147,48.23531784,250.0588631,76.09915457,226.1593136,213.2972074,187.9192792,423.001208,217.4081888,285.4328016,333.975445,195.8154891,175.828312,313.1324763,110.4336153,167.9125866,560.3693238,278.5084473,29.80389317,38.36665851,27.32801377,119.1076196,42.84602175,87.57789113,213.5485947,78.28745141,75.16050697,92.82938952,25.47622795,30.52670787,60.60183259,44.54812549,133.0143667,117.9967267,153.5247531,348.9890398,212.3939206,331.8618551,760.2023979,361.8821049,359.8615399,415.4382337,127.4014615,108.7372698,131.6966055,218.178562,331.8302164,254.4487265,255.1431863,554.9648119,390.3247952,777.5034866,762.4966311,534.6167577,409.8191661,706.8340502,366.9025576,308.9971145,413.9794213,1096.039007,60.6700489,52.31163443,72.15429562,119.3998242,121.8439096,149.5648392,168.9097756,182.461167,115.0410298,194.1334093,153.5741173,78.56653517,56.00748462,72.79967088,28.32923685,25.43424396,30.25383015,66.87819433,41.67125566,86.81709355,76.70637749,68.33320788,47.62359965,136.8155321,122.2055929,71.91721052,13.87595876,55.50539637
Boreal coniferous forest,EAS,27,631449092,142060,608793010,22514022,31540219,12449618,1495820,2306318,2112563,2068779,1440375,2146433,1852069,1679108,1388593,1362175,1890830,4180668,4513844,3102644,137388210,24076862,5533806,10482427,10665111,79757531,157711456,183177607,29198.48713,82369.1523,44069.8234,32853.78216,28716.61727,58763.55537,32138.97996,21281.21364,17133.24565,11226.09582,40007.12186,150443.4394,289350.5644,116614.2697,40468.74239,111309.2524,84677.46209,45844.30231,23515.33083,70777.97407,18723.8157,15448.24056,18053.8068,8900.411065,28865.86772,121876.5709,182147.5606,126147.9816,12276.03666,39278.12306,23903.66773,20566.65444,17007.42395,46633.76474,14377.03073,9574.352541,9200.092057,4117.629775,13127.03147,43342.78183,39955.52244,32350.50498,13802.77786,35803.68305,26878.3745,23681.62249,15033.14423,28730.69903,13545.82335,8600.485477,9681.526126,4156.776624,17264.21025,79763.22007,95998.11963,64394.84436,21256.89925,61377.81903,54173.13634,27707.46202,12537.12365,51074.97152,10296.22543,11173.89288,11981.13757,4952.710968,16687.54102,76575.42595,73690.86701,59022.52121,186515.5065,451243.1204,450034.9171,252731.7385,113435.2729,257831.4732,123316.8614,108776.497,93329.93463,53067.23077,149183.1832,539639.8301,721982.9192,647438.8764,390427.698,673879.0574,700786.0912,479732.4175,234109.1104,446671.3791,328092.7088,298416.378,212101.5523,183046.976,340735.146,1060387.668,1482975.009,1055797.7,801873.8169,851057.6725,728039.1031,1185660.584,996021.3225,1185949.605,1311577.916,1205836.55,1017112.027,1092706.876,1284959.94,2108638.591,1627743.58,1000877.53
