country,region,iso,id,region_ascii
Afghanistan,Badakhshan,AFG,1,Badakhshan
Afghanistan,Badghis,AFG,2,Badghis
Afghanistan,Baghlan,AFG,3,Baghlan
Afghanistan,Balkh,AFG,4,Balkh
Afghanistan,Bamyan,AFG,5,Bamyan
Afghanistan,Farah,AFG,6,Farah
Afghanistan,Faryab,AFG,7,Faryab
Afghanistan,Ghazni,AFG,8,Ghazni
Afghanistan,Ghor,AFG,9,Ghor
Afghanistan,Hilmand,AFG,10,Hilmand
Afghanistan,Hirat,AFG,11,Hirat
Afghanistan,Jawzjan,AFG,12,Jawzjan
Afghanistan,Kabul,AFG,13,Kabul
Afghanistan,Kandahar,AFG,14,Kandahar
Afghanistan,Kapisa,AFG,15,Kapisa
Afghanistan,Khost,AFG,16,Khost
Afghanistan,Kunar,AFG,17,Kunar
Afghanistan,Kunduz,AFG,18,Kunduz
Afghanistan,Laghman,AFG,19,Laghman
Afghanistan,Logar,AFG,20,Logar
Afghanistan,Nangarhar,AFG,21,Nangarhar
Afghanistan,Nimroz,AFG,22,Nimroz
Afghanistan,Nuristan,AFG,23,Nuristan
Afghanistan,Paktika,AFG,24,Paktika
Afghanistan,Paktya,AFG,25,Paktya
Afghanistan,Parwan,AFG,26,Parwan
Afghanistan,Samangan,AFG,27,Samangan
Afghanistan,Sari Pul,AFG,28,Sari Pul
Afghanistan,Takhar,AFG,29,Takhar
Afghanistan,Uruzgan,AFG,30,Uruzgan
Afghanistan,Wardak,AFG,31,Wardak
Afghanistan,Zabul,AFG,32,Zabul
Albania,Berat,ALB,33,Berat
Albania,Dibër,ALB,34,Diber
Albania,Durrës,ALB,35,Durres
Albania,Elbasan,ALB,36,Elbasan
Albania,Fier,ALB,37,Fier
Albania,Gjirokastër,ALB,38,Gjirokaster
Albania,Korçë,ALB,39,Korce
Albania,Kukës,ALB,40,Kukes
Albania,Lezhë,ALB,41,Lezhe
Albania,Shkodër,ALB,42,Shkoder
Albania,Tiranë,ALB,43,Tirane
Albania,Vlorë,ALB,44,Vlore
Algeria,Adrar,DZA,45,Adrar
Algeria,Aïn Defla,DZA,46,Ain Defla
Algeria,Aïn Témouchent,DZA,47,Ain Temouchent
Algeria,Alger,DZA,48,Alger
Algeria,Annaba,DZA,49,Annaba
Algeria,Batna,DZA,50,Batna
Algeria,Béchar,DZA,51,Bechar
Algeria,Béjaïa,DZA,52,Bejaia
Algeria,Biskra,DZA,53,Biskra
Algeria,Blida,DZA,54,Blida
Algeria,Bordj Bou Arréridj,DZA,55,Bordj Bou Arreridj
Algeria,Bouira,DZA,56,Bouira
Algeria,Boumerdès,DZA,57,Boumerdes
Algeria,Chlef,DZA,58,Chlef
Algeria,Constantine,DZA,59,Constantine
Algeria,Djelfa,DZA,60,Djelfa
Algeria,El Bayadh,DZA,61,El Bayadh
Algeria,El Oued,DZA,62,El Oued
Algeria,El Tarf,DZA,63,El Tarf
Algeria,Ghardaïa,DZA,64,Ghardaia
Algeria,Guelma,DZA,65,Guelma
Algeria,Illizi,DZA,66,Illizi
Algeria,Jijel,DZA,67,Jijel
Algeria,Khenchela,DZA,68,Khenchela
Algeria,Laghouat,DZA,69,Laghouat
Algeria,Mascara,DZA,71,Mascara
Algeria,Médéa,DZA,72,Medea
Algeria,Mila,DZA,73,Mila
Algeria,Mostaganem,DZA,74,Mostaganem
Algeria,M'Sila,DZA,70,M'Sila
Algeria,Naâma,DZA,75,Naama
Algeria,Oran,DZA,76,Oran
Algeria,Ouargla,DZA,77,Ouargla
Algeria,Oum el Bouaghi,DZA,78,Oum el Bouaghi
Algeria,Relizane,DZA,79,Relizane
Algeria,Saïda,DZA,80,Saida
Algeria,Sétif,DZA,81,Setif
Algeria,Sidi Bel Abbès,DZA,82,Sidi Bel Abbes
Algeria,Skikda,DZA,83,Skikda
Algeria,Souk Ahras,DZA,84,Souk Ahras
Algeria,Tamanghasset,DZA,85,Tamanghasset
Algeria,Tébessa,DZA,86,Tebessa
Algeria,Tiaret,DZA,87,Tiaret
Algeria,Tindouf,DZA,88,Tindouf
Algeria,Tipaza,DZA,89,Tipaza
Algeria,Tissemsilt,DZA,90,Tissemsilt
Algeria,Tizi Ouzou,DZA,91,Tizi Ouzou
Algeria,Tlemcen,DZA,92,Tlemcen
American Samoa,Eastern,ASM,93,Eastern
American Samoa,Manu'a,ASM,94,Manu'a
American Samoa,Unorganized,ASM,95,Unorganized
American Samoa,Western,ASM,96,Western
Andorra,Andorra la Vella,AND,97,Andorra la Vella
Andorra,Canillo,AND,98,Canillo
Andorra,Encamp,AND,99,Encamp
Andorra,Escaldes-Engordany,AND,100,Escaldes-Engordany
Andorra,La Massana,AND,101,La Massana
Andorra,Ordino,AND,102,Ordino
Andorra,Sant Julià de Lòria,AND,103,Sant Julia de Loria
Angola,Bengo,AGO,104,Bengo
Angola,Benguela,AGO,105,Benguela
Angola,Bié,AGO,106,Bie
Angola,Cabinda,AGO,107,Cabinda
Angola,Cuando Cubango,AGO,108,Cuando Cubango
Angola,Cuanza Norte,AGO,109,Cuanza Norte
Angola,Cuanza Sul,AGO,110,Cuanza Sul
Angola,Cunene,AGO,111,Cunene
Angola,Huambo,AGO,112,Huambo
