ecozone,extent_2000,extent_perc,gain,gain_perc,id,loss,loss_perc,thresh,year
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2000399.8445136603,0.5632869096451364,20,2001
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1736546.8140248195,0.2867222960212562,20,2001
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,6824046.637020499,0.3193049962733117,20,2001
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,5074538.127364,0.45055270274726933,20,2002
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2151318.90734224,0.6057837798285666,20,2002
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1770772.1131294677,0.2923732558813909,20,2002
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,7843113.095834075,0.36698828877434275,20,2002
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4474533.4238722995,0.39728012226127224,20,2003
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,1883559.4698442833,0.5303861604525197,20,2003
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1697848.4411423546,0.2803327842410179,20,2003
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,6785291.145043787,0.31749158219814094,20,2003
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,6453079.902865,0.5729492060768506,20,2004
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2219961.95776687,0.6251127814021022,20,2004
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2689315.401977414,0.444034494522571,20,2004
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8906675.648061763,0.4167536046989379,20,2004
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4907497.1687086,0.4357216474861317,20,2005
