,,,,,,,Total,Total,Annual loss,,,,,,,,,,,,,forest cover by strata,,,,,,,,loss within S1,,,,,,,,,,,,,loss within S2,,,,,,,,,,,,,loss within S3,,,,,,,,,,,,,loss within S4,,,,,,,,,,,,,loss within S5,,,,,,,,,,,,,loss within S6,,,,,,,,,,,,,loss within S7,,,,,,,,,,,,,loss within S8,,,,,,,,,,,,
Ecozone,Realm,Code,total area,no data,land,water,Loss 00-13,Gain 00-12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,S1,S2,S3,S4,S5,S6,S7,S8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Tropical mountain system,AFR,9,146778512,0,146244886.5,533625.5128,1432437.533,481290.3813,85852.21163,94776.63099,78218.07663,87226.48443,101843.8912,78882.6727,155385.6101,110097.192,114652.7413,112421.9137,129352.8908,118898.7013,164828.5168,81420937.81,10545273.81,16110207.47,1758451.163,5659850.231,11959486.2,8055391.658,10735288.17,125.0434294,272.5661897,241.1192959,259.8785048,367.9353767,294.036179,476.3304999,432.8667121,355.1297788,368.460202,653.5042168,942.9375404,4799.031917,597.9010863,1377.877492,1398.939784,1534.466158,2311.65245,1565.965975,3203.363056,2467.495048,2699.588693,2569.261108,1985.776148,1714.195419,4695.185669,2144.708849,4452.773656,4445.315872,4308.41834,6519.745997,4406.302195,8994.68958,7303.699404,6741.414164,6430.479577,6307.830006,5890.622743,15152.91781,482.1119505,755.150097,828.5130819,749.9208253,1110.64411,791.2834995,1471.918706,1378.641418,1104.44658,1117.036338,1216.946157,1163.831558,2325.375227,1976.739478,3037.499393,2961.805602,2879.154137,4020.960441,2955.079636,5312.854021,4675.405999,3755.794514,3844.288155,4314.707594,3949.180644,8505.566784,9685.742412,12273.0055,10883.27618,12079.2226,14801.6524,10752.12189,20171.01272,17712.37284,17329.64304,15562.03991,17456.40867,20034.64401,29651.35509,25981.45206,26216.37123,24303.21553,26040.94271,28309.47385,21108.37693,41487.25159,28910.91665,30911.3799,27943.90054,34343.61134,35093.54714,41537.67422,44858.51236,46391.38743,33155.89128,39374.48116,44401.82658,37009.5064,74268.18992,47215.79396,51755.34462,54586.44784,63074.10665,50109.74222,58161.41005
Tropical rainforest,AFR,10,400028084.6,1807.659156,394744817.9,5281459.008,11893189.76,2457170.061,874149.4219,954684.8517,505317.2989,587440.4793,721225.369,771235.3039,883576.7314,784469.9546,1041924.675,1148636.041,884700.6572,941472.8656,1794356.109,4082173.603,9190159.84,32076976.15,5803409.911,21038364.06,54187835.94,74239150.6,194126747.9,101.4615534,146.8323161,117.9353166,142.2823076,164.21222,158.5765257,253.3916624,180.3571875,249.5779507,259.0676552,268.5187044,322.4910162,2079.300879,1379.242752,1697.036016,1509.360744,1347.321057,1886.89039,1940.584313,2729.290732,2064.266603,3341.627218,3577.968239,2228.061122,2744.858042,6515.943006,10663.42756,11386.04728,9885.739141,7415.849859,11880.26922,11226.74193,16164.04642,13571.45135,17444.07802,22393.21277,13415.44618,16692.57577,43046.47894,3173.654799,3134.35475,2521.276516,1977.294209,3054.403345,2951.153122,3940.687967,3573.443752,4303.848991,5634.415766,3523.033132,4158.772625,11167.18517,14814.21619,13249.03758,10357.57646,8261.960986,12340.24093,12021.6876,15361.02961,14966.66474,15890.30489,21943.83632,14885.82904,15513.11212,51992.21932,86544.81801,90929.13774,55236.40349,50245.20655,65897.79768,69579.4886,79030.17819,88658.20604,85107.53234,93264.06262,85020.61186,75433.93826,227674.7438,261033.246,329271.1806,169429.2287,162536.9671,191539.0752,232315.2649,269891.0012,258822.2268,293653.7857,290945.3632,296817.4792,285361.0627,633455.6857,496439.3551,504871.2255,256259.7785,355513.5972,434462.48,441041.8069,496207.1056,402633.3381,621933.9199,710618.1141,468541.6779,541246.0551,818424.5525
Tropical shrubland,AFR,11,595671579.8,0,594433065.6,1238514.193,817036.2586,34591.81767,40899.582,37193.07011,77197.11415,26683.14118,60653.21289,95407.30838,67849.46825,68794.08272,113096.1068,74703.3867,48851.73949,53912.88552,51795.16035,568756303.7,12394911.21,8359659.723,563169.7945,1185609.279,2287283.256,723179.0932,162949.5127,1516.267487,1926.769993,2979.148702,1587.781457,5059.057758,5720.129465,2078.911433,2568.99102,5622.073957,1869.029345,1518.480673,1491.623719,3563.314933,4212.639473,5699.788511,9528.966856,4062.781614,10189.43504,15730.44954,6782.198559,8420.308945,15911.69435,9061.732197,4113.562525,5816.47329,4010.993334,9321.292775,11733.96653,25443.4814,8163.106034,19151.38186,31050.36634,17388.24619,20196.90011,34046.16137,19854.44178,10126.22094,13200.80938,12161.09722,1435.543233,1753.760544,4084.196114,1225.980563,2524.036687,4149.351,2558.423628,2767.550674,4209.123364,2954.947553,1499.9356,1373.765858,1672.37727,4828.383858,4721.388256,12680.68107,3831.794104,7685.710272,12158.07322,8205.453303,8699.169126,13201.01008,7890.603441,4194.936566,4199.18786,4879.88567,12082.51239,7919.236643,18119.00467,6157.140635,12658.77776,20771.76641,20918.57659,17500.32759,25396.10533,15390.98053,12142.91419,11743.74137,16653.13233,4959.56653,2979.716168,4033.068127,1482.229437,3128.504776,5657.760731,9194.990924,8324.421615,14403.13655,17169.34884,14445.43737,15732.73553,8732.812683,2543.376255,458.4434678,328.5672067,172.3273372,256.3087434,169.4116802,722.6676277,316.4136472,306.8018164,512.3030276,810.2516166,354.548515,121.5469133
Water,AFR,12,15746447.63,0,4219456.995,11526990.63,69800.31225,10703.81738,6533.326618,2519.471143,3097.639208,3107.768217,7304.201109,5177.092974,6955.293201,6895.037513,4428.855141,6358.717508,9027.207715,4320.28556,4075.416339,1542705.286,549584.2944,626329.6993,67922.8466,226440.8796,675969.219,427485.785,103018.9842,5.626936922,8.081128541,10.65443903,17.39573497,22.44491795,9.532339328,18.54754237,10.40984337,14.96375124,15.59209559,17.2054391,12.58168653,134.2235,81.50599993,136.9134171,118.4147332,173.9249057,180.8729735,108.9058585,138.0374233,92.04441679,137.1688465,87.26131734,109.3978645,101.200291,140.8572265,188.4945112,208.7032722,228.1442795,294.2104784,449.5834167,316.1633828,482.4080449,412.2433695,318.0371196,384.3372425,513.1908807,291.7533875,307.1215738,25.798739,30.25968463,41.64921236,47.05620387,84.51347921,64.44053549,101.9581489,86.63677148,58.01967793,95.97894157,121.0532184,64.99748139,47.38475999,141.6915538,123.7471248,213.9930625,222.5697549,434.6799207,279.8427254,453.7206464,482.154968,245.6471381,347.3800165,468.1212431,252.5970649,197.1089758,778.9246375,528.2864873,1053.971933,1010.882568,2225.269197,1310.290135,2276.278147,2185.434105,1212.897259,1942.542506,2920.236608,1350.019896,1101.167852,2547.122069,900.9269575,918.5199926,816.9783355,1721.38684,1050.784929,2087.181973,1956.421445,1341.128602,1679.9904,2556.816176,1332.333193,1327.15285,2764.16217,582.5530712,512.2915558,524.7502353,2185.450364,2037.133069,1397.161275,1669.692593,1100.992746,1805.634989,2321.186285,914.8025593,820.3996016
No data,ANT,13,33053.2463,33053.2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar,ANT,14,752832.8082,752832.8082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No data,AUS,15,194456.5267,194456.5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subtropical desert,AUS,16,413100722.1,0,412844086.2,256635.8761,1505988.699,2711.150719,514504.0395,77018.58156,155369.3847,42827.69755,377235.8868,64999.7649,79928.10037,68983.5766,22772.7219,87840.35991,6009.356753,6969.147796,1530.080412,411615681,73714.45108,386429.6506,101611.5122,419956.0687,246224.2105,409.9277764,59.38187457,462716.5663,66259.17385,118159.3275,36139.64236,339805.9145,58668.4669,71712.2276,58254.70854,18037.01966,43154.02606,5235.855223,6022.3202,1404.971346,1948.738195,140.2137673,2130.917026,1289.825428,6083.134049,732.278565,1528.800079,1069.668464,343.2383663,1395.09034,91.23647263,114.512824,8.841937873,22435.20597,5077.609039,13754.63741,2474.259393,13915.80041,1602.33222,2726.961494,3668.976225,1123.723648,4641.738042,206.9642386,272.4399365,52.5270219,5274.513235,48.1891725,221.6343011,1502.435877,5212.684969,1206.690692,1623.853684,2992.504945,677.6278571,2418.607394,150.2135523,104.7730207,6.96710711,14611.10155,2217.805203,6470.934672,1091.105176,7662.628174,2048.735575,1782.424178,2238.586753,1762.583476,21112.78934,244.7246226,289.1400846,29.91461714,7515.200037,3274.295798,14626.62389,327.4986683,4551.026785,737.1090992,551.8411576,752.4663355,824.2128423,15105.56153,74.36980425,157.6306553,26.8583827,2.584576284,1.092109173,3.441077252,1.845984763,3.314566752,3.142388283,1.77357313,4.558208488,3.198352028,11.55928622,5.348993142,7.97893952,0,0.1295779062,0.2026155286,1.868851413,1.084663705,1.383358858,1.00946244,0.2186088721,2.107122498,1.117704205,0.987919878,0.643846495,0.3521350624,0
Subtropical dry forest,AUS,17,12331358.22,0,12126806.64,204551.581,500742.7896,390212.7448,24781.07072,25375.597,39381.55394,28730.39522,45121.92941,37713.42775,72368.8352,54329.88159,28507.51185,26692.23634,41530.14867,33146.53405,43063.6679,7939656.831,32671.33643,160017.8533,43367.39056,185246.3771,1552387.686,1002246.708,1211212.456,1626.870473,833.2091181,2328.245058,1682.766566,3674.197945,1099.2017,6123.773934,619.6509462,449.7467392,1537.980799,4942.417565,4201.662795,17958.26585,330.366488,126.9019824,475.9394158,289.4538907,735.8979726,195.7462849,712.1887197,128.3880363,97.13008949,222.2194667,182.3655671,110.0804135,272.5790218,1362.417384,418.8499099,1963.311616,1247.043481,2162.134827,586.4926281,2880.799243,312.5702835,235.1684613,960.6655024,1277.214177,525.2098623,913.9228418,369.2046198,115.0086189,621.5264023,437.2854212,793.9788407,214.759575,930.7045112,121.6633184,97.00326757,499.846773,643.9193506,348.0465845,249.6259062,852.6470003,617.0285391,1078.337829,817.5711047,2359.874649,672.5868484,2367.645928,625.7120962,374.4200868,1282.111383,1264.316072,662.0092196,832.4484831,7340.197979,5634.737732,11098.07688,6299.288063,14214.95077,6927.856665,17749.78521,7143.562767,3881.568599,6725.0532,10875.20864,8826.029541,6685.59763,2856.364696,4280.653943,5242.125669,4574.574603,5629.696535,8141.436887,15450.75152,22101.08484,7354.680415,5539.74975,7063.586295,6809.95883,5828.651208,10043.00208,13349.20716,16573.99107,13382.41209,15551.19786,19875.34716,26153.18613,23277.2493,16017.79419,9924.609466,15281.121,11663.5368,10322.57696
Subtropical humid forest,AUS,18,28118654.72,13358.59282,27414733.36,690562.7662,795969.926,598365.3431,46184.10527,60175.4195,45800.05212,56746.65255,51495.06702,56337.12591,54687.32505,59640.16136,56273.47963,50005.08644,53706.57809,73388.90954,131529.9635,12731649.33,48948.97158,194344.1148,93339.13062,242244.753,2015457.2,3026364.982,9062384.882,382.8728875,318.5211722,480.1735998,561.7161869,420.5766179,398.654185,359.4913276,365.2859036,277.3934978,329.7993528,652.6307104,1319.012818,8673.151252,34.42213235,32.35055362,52.98049044,60.09232178,53.27911236,44.69611096,34.7272967,36.64862369,27.21297876,20.28825321,20.19035799,26.61903961,95.85592767,252.1239141,219.3438972,360.4448472,421.5300529,333.8620519,287.4491638,235.5248554,219.6921852,128.9617706,116.0199055,113.5550967,131.0073307,482.227989,72.8235691,58.21664895,87.8039171,87.16636364,69.12489251,66.22667447,48.27926344,52.15788464,39.83685868,33.865815,40.60618118,58.97857443,234.3996057,233.1986187,199.2042389,335.4897682,371.2447134,291.6906454,273.3391352,235.9704729,204.589535,131.6622478,129.7122863,113.0695183,135.6077574,536.79926,1574.781039,1577.242469,2193.036523,2035.737477,1938.60642,1970.042633,1766.499704,1449.779123,1123.744252,906.7397915,893.3765036,1263.924013,5964.770621,3326.103739,3780.845855,4093.893037,3464.174745,3700.214303,3553.52398,3425.643014,3102.622042,2680.839658,1826.351268,2185.286211,5857.800799,24991.82225,40307.77937,53989.69467,38196.22994,49744.99069,44687.71298,49743.19403,48581.18912,54209.38606,51863.82837,46642.30977,49687.86351,64595.95921,90550.93656
Subtropical steppe,AUS,19,145969595.3,0,145600950.3,368644.9858,2981290.732,268651.3548,367029.4433,390913.6206,667455.3365,98564.46365,234671.7379,207679.4674,298864.2665,146021.1358,92082.04503,291263.8762,52881.94264,64302.01381,69561.38237,131701949.2,337370.0005,1800837.037,346432.8661,2148434.085,8200100.294,633867.8138,431959.0655,133231.3633,100816.2526,313558.4318,60179.01509,102338.5498,88201.43701,82929.53151,30739.98637,30265.9877,43944.20512,20380.78651,15041.64206,15248.93272,4588.789158,3391.056229,8568.566121,1610.735816,5783.787942,2950.105971,3560.001918,2494.838292,716.3774437,1967.215517,494.3979495,489.3403825,294.0697904,44143.45208,31582.50532,80092.60615,6251.318354,24070.76283,9725.482283,10857.84279,7177.699824,4933.74243,9030.080375,2013.79593,2632.706914,2124.408629,1615.295246,1910.388349,5410.137196,1284.800113,9010.218856,5961.362196,5187.561595,6118.148432,2931.988136,5422.472592,1101.447788,1579.341412,592.2952157,43401.05059,26795.7527,62950.58889,6296.273247,27703.57111,26807.87757,19029.00632,25713.65107,18771.62045,46843.57149,4188.450317,5102.734164,4776.801804,133698.1078,214034.9509,190229.5252,18672.4438,57288.56934,57365.69142,166531.9069,65522.26115,26514.90089,177488.2104,20199.73461,33368.47665,41994.90685,3378.487149,9939.87859,3310.214543,1947.231777,4583.840285,8426.49097,6438.889062,4464.653754,3188.161073,2646.533731,2273.185406,2619.713857,2109.259318,2972.897943,2442.835884,3335.266624,2322.645456,3892.437707,8241.019982,4329.52643,3789.896918,4759.266909,3921.586935,2230.144138,3468.058373,2420.708037
Temperate mountain system,AUS,20,19374548.34,0,19066421.04,308127.2997,473177.7745,226985.0622,13478.32731,17108.83788,78494.55233,24314.48657,25058.70982,22204.14595,67027.92714,24603.5139,86157.59899,29159.45168,17057.66708,22286.35333,46226.20251,9221426.032,63855.87296,114800.5137,60697.03718,190705.3531,1230439.692,2128588.95,6055907.585,245.2415537,222.7772054,507.7259011,256.6615414,154.4983863,264.4569013,242.46567,135.7823917,180.4170646,143.3511363,232.4113441,307.7281021,2202.220054,7.309654815,10.11870582,40.83977516,10.68654488,4.748489474,8.931867278,12.47142694,3.838776432,7.956069805,3.55252002,3.875962087,5.899685577,43.70120339,37.90085658,46.48373081,240.4040428,62.10474695,37.35363294,54.29098748,57.01597169,26.51353978,29.78157153,25.96409139,16.68620117,24.73125799,131.871997,8.82102035,9.261669854,56.22681928,19.94376569,14.03951753,14.79475541,16.93344848,9.696588655,11.65322122,9.064838891,9.168525064,11.39680042,54.75320722,47.02883804,59.9753234,296.3113127,81.83431618,57.71592541,68.26965498,89.07674509,42.52213627,42.64584292,55.47984023,25.71829483,36.21518702,152.7673003,317.1151448,450.2218845,1935.548771,560.6157764,364.5503437,393.0521766,641.3719379,271.9861696,353.3956131,426.8002217,238.7643611,318.1108349,1489.453855,966.3581317,1245.114635,7737.473781,1783.892718,1616.604971,1634.86102,4230.993686,1455.835876,2097.944808,1667.253959,599.0107742,1575.079324,8894.302503,11848.55211,15064.88472,67680.02193,21538.74717,22809.19856,19765.48859,61737.59825,22657.33842,83433.8048,26827.98507,15932.03161,20007.19214,33257.13239
Temperate oceanic forest,AUS,21,21884263.88,0,21159316.42,724947.459,628580.5593,578724.1262,40014.2701,40873.04653,47854.99031,52450.76365,42118.35794,51162.94383,67836.49094,50006.53551,52496.2338,41608.25772,33886.17973,38970.93123,69301.55801,10715615.46,40814.08145,76883.83927,45073.6249,96111.09219,508940.5692,1399547.508,8276330.245,157.1783999,93.02720242,233.0931074,153.9924263,166.1175812,176.9660835,179.2660623,141.2490252,110.0052265,121.0028572,599.2418743,1469.600511,9833.956292,8.705907584,5.290766805,25.17558521,10.19675039,10.68702991,8.726306047,10.92647658,8.080303689,5.799101669,5.06483499,7.816697361,23.34874377,77.99698697,28.71911228,28.43237118,85.28180943,46.74389862,44.45881315,43.24629439,46.29943579,25.06654318,22.80094278,20.77029785,80.77922548,166.0276126,268.4347508,13.96364108,11.642289,26.00054308,19.07623179,17.39220668,18.8428854,25.13550197,11.43647067,9.613570194,10.69697884,102.4476826,141.8070715,111.9275893,41.61914239,32.26328839,98.01181261,56.54710923,52.80765238,58.21048746,73.45439571,34.12808761,21.77702429,29.28949243,72.66048368,164.6264526,305.1060264,411.0967139,383.3210028,520.2262915,457.8196266,529.1496326,612.0890544,470.6492183,273.8084498,272.4856728,206.2456634,735.0424135,3429.672224,1870.033766,1758.162109,1563.924617,2522.451942,2154.086132,2011.052583,2494.411541,2824.50273,1518.475641,1664.997082,1015.784499,1324.746165,2970.437952,8322.494763,37594.82507,38755.14499,44344.74922,49552.30148,39286.69245,47750.45118,64206.25712,47994.29099,50388.75518,40199.4031,30963.44519,30605.41067,48511.60783
Tropical dry forest,AUS,22,46631773.4,0,46087018.56,544754.8464,79063.87554,37899.93481,2174.833346,4949.162742,3416.551718,6787.272061,7869.916041,14285.44229,7515.67634,7595.854342,5539.976384,3943.946672,3495.368091,4647.457474,6842.418044,28563369.3,6422384.409,5616310.821,803156.5029,859643.9417,2241520.331,706532.2166,874101.0349,214.8029368,477.4241629,293.3445061,396.861521,584.558506,859.5962913,955.8828589,394.1732678,383.2306922,369.9777295,353.3375958,464.6333172,600.3698981,57.71985156,94.0555735,93.25531624,382.8652319,482.6491965,591.6821943,234.2364914,204.4079848,80.22900411,114.0889627,112.1348636,123.0093319,328.0436647,574.0190855,698.2874825,830.0937367,1843.230681,3199.711524,5539.605689,1872.563119,2120.799476,744.7504655,823.5371012,734.2565174,752.2613231,1450.33992,60.2265329,103.3534029,235.3480816,588.0816257,578.3295341,1038.782298,299.7753915,420.5786299,110.2670834,93.98759583,95.0952595,147.2337929,368.1374668,112.5773937,240.7954863,408.9574022,704.5588606,519.5971996,1424.768654,675.2083232,644.9202604,340.7416169,262.3322907,237.4172513,289.715113,646.3359447,426.9595057,1393.398631,918.0376501,1401.690541,897.4540375,2565.476042,1597.474338,2292.407672,2085.816954,1236.288238,927.597827,1263.815598,2672.218287,196.552309,730.8290423,271.7358991,564.3509392,638.8391143,1300.5209,980.3717191,1107.681163,924.084229,474.5788286,426.3378783,761.4943484,571.6613118,531.975731,1211.01896,365.7791263,905.6326604,968.7769289,965.0102171,900.1640991,410.8858884,870.856339,569.1559256,609.1908976,845.2946493,205.3115514
Tropical moist deciduous forest,AUS,23,5544488.274,0,5473045.946,71442.32784,41176.90195,9355.455077,2470.856582,3475.88118,2127.751499,3541.658842,4894.733353,3044.150268,2254.757376,1252.568569,4057.519719,1446.711649,4349.000321,5048.146666,3213.165925,729454.6089,172326.755,90459.24984,99685.27591,123662.2986,647026.6243,1015332.524,2595098.61,16.90383184,35.11607968,19.04040609,21.2480892,38.81362865,24.89403671,7.844984509,18.28162623,32.22098466,22.02307747,77.83630195,75.02431454,627.7158034,3.42577163,5.100292605,4.949491194,5.784730717,5.630898525,3.424544682,1.979628772,3.579540881,8.831067489,1.676045798,8.146175913,7.764968122,84.49084892,1.979778756,3.197781344,2.969808895,5.331914548,2.815107462,3.19682215,1.598475076,2.513216039,4.949290446,0.6089935453,5.786766283,3.350126353,46.43064341,2.817029731,5.635202641,1.904457998,3.198162506,2.96747045,2.587440123,1.294492418,1.294687113,5.250643407,0.07614509103,4.948247023,4.492948154,52.1493889,2.892657099,3.349277262,1.370579353,4.264145533,3.80306992,3.348957588,2.054714309,2.208185927,7.841209268,0.07628385906,5.936531788,4.873153823,56.33542507,49.94148084,69.89362149,56.2807681,66.91442853,60.40492494,57.31557637,28.47387707,43.79381206,102.2294234,7.68796528,91.74850182,77.35394557,287.5923392,391.4065618,472.4061317,381.0400718,495.4420331,590.6866542,437.8486485,196.3082634,191.8931121,617.4455637,44.21235621,397.3309085,452.6570991,485.8545338,2001.489471,2881.182793,1660.195916,2939.475338,4189.611599,2511.534242,2015.20294,989.0043881,3278.751536,1370.350782,3757.266888,4422.63011,1572.596943
Tropical mountain system,AUS,24,12094517.31,0,12073137.48,21379.83865,81555.18032,31725.35212,3956.916798,6440.778381,3885.362162,7430.952173,4066.215852,7636.855534,6113.502305,6909.203219,9371.63322,9871.240438,3230.357984,6768.191244,5873.971012,639835.8632,78563.77133,23456.7757,35891.31329,80423.53556,317391.8095,762162.0622,10135412.35,18.55030079,34.31008529,15.25022029,38.15416837,11.11494104,33.4124054,22.30182735,24.4435922,29.59528633,29.96682058,15.48279281,43.77250652,263.654048,5.137425465,8.655404687,4.977951545,9.87561857,2.452684236,7.581230959,5.900937035,4.824081605,7.431710065,7.967263962,2.759844637,6.204735561,23.44449722,3.372276093,4.594688167,2.835632071,7.277178126,1.839147369,3.369616197,3.522763991,3.982354253,4.36844222,4.828135537,1.761164977,6.977578292,21.77572655,2.221075074,4.517508917,1.302849028,5.20873286,2.223221081,3.141734568,2.682912889,3.599906226,4.674032843,3.831984994,0.4592118247,4.290426492,16.9349883,4.747113865,6.352727047,2.75713664,7.963193993,1.6853789,7.200269664,5.282187539,5.74477861,6.436547002,6.66246934,1.914893283,7.122350059,22.2177088,51.72364647,108.5265974,37.99214894,124.4551195,40.23586223,91.38148788,70.10823355,89.13663086,91.57674347,101.9856932,29.87500807,75.21633527,164.2722554,268.2235408,494.1773752,210.1953971,558.7803308,238.9173198,493.7226051,374.7649644,487.2696401,543.8153505,573.922273,147.4817176,321.8801193,522.0863383,3602.94142,5779.643995,3610.050826,6679.237831,3767.747297,6997.046185,5628.938478,6290.202235,8683.735107,9142.075798,3030.623351,6302.727193,4839.585449
Tropical rainforest,AUS,25,82215454.57,1112507.653,78737229.36,2365717.559,1107703.628,337188.0485,52325.29533,82511.72497,50560.5965,86802.07443,62257.46687,87357.04112,79181.98139,96689.33499,81890.89619,103383.677,102813.5155,125598.0016,96332.02203,4051966.607,264402.3311,365834.3792,179259.9838,270865.7682,1746471.409,3078097.934,68780330.94,366.4224168,337.5679632,186.066153,656.1133242,272.417941,397.3452763,285.4872284,343.5515222,386.2976392,321.5017668,867.3135784,449.3178406,2231.574251,46.25540731,54.94650886,32.35524703,86.75073134,37.07649705,60.48248986,50.42493882,54.77660076,51.00179351,47.30435479,58.28697607,53.0742251,154.3411975,120.5104345,123.6853398,88.32950235,170.197233,97.13890275,106.5288912,125.305941,94.98074052,127.320839,75.26392884,108.4662532,108.4845126,312.4724624,33.03878841,41.21422203,26.6121431,61.85868044,28.00528163,36.67923092,34.45290418,35.16106473,36.48033163,28.37853826,39.5026405,38.40631569,140.2731635,81.4622651,78.20278593,52.62797321,109.9138604,69.94836744,80.62444108,75.01338067,60.57404891,72.81062022,52.2805646,70.63649317,72.56746234,253.5865819,642.3927889,790.0848133,581.2004071,1241.67999,802.4285027,988.8986346,696.6089003,669.3783164,706.859857,594.016319,801.1139942,665.2181402,2021.143553,2161.094336,3690.275359,1896.723451,4083.476314,2375.79224,3293.642565,2647.044282,2810.026605,2736.374692,2997.988986,3815.18864,2626.074037,3814.544977,48874.1189,77395.74798,47696.68162,80392.08429,58574.65914,82392.83959,75267.64382,92620.88609,77773.75042,99266.94256,97053.00694,121584.8591,87404.08584
Tropical shrubland,AUS,26,106008437.3,0,105852202,156235.2607,28069.60699,2287.300485,1545.621097,1490.003337,1495.201426,2980.094873,1761.851607,2516.477125,3219.476502,2264.45817,1967.650993,3148.700306,1646.009266,1395.082802,2638.979487,102496171.7,1385023.528,881056.8552,110411.4343,243132.0014,572395.6378,105554.708,58456.17386,686.2631699,735.2848517,728.3901299,1270.840372,673.2218857,726.674162,825.7372856,756.3232969,701.5425546,1202.770118,708.6686523,738.5075959,1624.222185,49.55085107,52.86328738,40.48793775,76.91380348,62.14162933,71.04499602,77.89999478,86.7386951,82.77428444,86.74709657,31.34704147,36.23709093,172.367804,226.1593136,213.2972074,187.9192792,423.001208,217.4081888,285.4328016,333.975445,195.8154891,175.828312,313.1324763,110.4336153,130.3980865,411.8064431,29.80389317,38.36665851,27.32801377,119.1076196,42.84602175,87.57789113,213.5485947,78.28745141,75.16050697,92.82938952,25.47622795,23.51024442,43.16791899,133.0143667,117.9967267,153.5247531,348.9890398,212.3939206,331.8618551,760.2023979,361.8821049,359.8615399,415.4382337,127.4014615,81.23241185,80.61825559,331.8302164,254.4487265,255.1431863,554.9648119,390.3247952,777.5034866,762.4966311,534.6167577,409.8191661,706.8340502,366.9025576,245.0644442,258.7825598,60.6700489,52.31163443,72.15429562,119.3998242,121.8439096,149.5648392,168.9097756,182.461167,115.0410298,194.1334093,153.5741173,70.47563994,37.79238489,28.32923685,25.43424396,30.25383015,66.87819433,41.67125566,86.81709355,76.70637749,68.33320788,47.62359965,136.8155321,122.2055929,69.65728821,10.22193575
